Questions,num_words,num_characters,num_misspelled,bin_start_interrogative,bin_end_qmark,num_interrogative,bin_start_small,avg_word_sentence,num_sentences,bin_url,readability_score,num_punctuations,bin_taboo,grammar_check,Average IDF,Entropy,Polarity,Subjectivity
Which event must always occur for a chemical reaction to take place?(1) formation of a precipitate(2) formation of a gas(3) effective collisions between reacting particles(4) addition of a catalyst to the reaction system,37,188,0,0,0,0,0,18.5,2,0,10.60621622,9,0,1,-2.259765096,0.709889543,0.6,0.8
Jack spent $100 on eight packs of cards how much did each pack cost,14,54,0,0,0,1,0,14,1,0,3.400714286,0,0,1,-4.537511538,0.036313545,0.05,0.15
"As one moves farther and farther from the Sun, the distance between adjacent planets is?<br /> A. smaller<br /> B. greater<br /> C. constant",24,117,3,0,0,0,0,4.8,5,0,1.18375,11,0,0,-3.522062084,0.10377443,0,0.333333333
What is the unit rate for meters per second if a car travels 238 meters in 17 seconds?,18,69,0,1,1,1,0,18,1,0,5.363333333,1,0,1,-4.295015258,0.052646668,0,0
Which of the following is a producer? <br /> a. a crow that consumes a dead animal on the side of a road<br /> b. a fish that eats smaller fish for its food<br /> c. a giraffe that eats the leaves of trees<br /> d. a plant that has insect larvae feeding on its roots,55,211,4,0,0,0,0,9.166666667,6,0,-0.233212121,13,0,0,-4.117101549,0.107927387,-0.066666667,0.333333333
A voltaic cell spontaneously converts chemical energy to<br /> (1) electrical energy (3) mechanical energy<br /> (2) geothermal energy (4) nuclear energy,22,132,2,0,0,0,0,22,1,0,14.83272727,12,0,0,-2.016538973,0.744209969,0.6,0.9
"A 3.00-newton force causes a spring to stretch 60.0 centimeters. Calculate the spring constant of this spring. [Show all work, including the equation and substitution with units.]",30,153,0,0,0,0,0,5,6,0,3.678,9,0,1,-4.605170186,0.068866657,0,0.333333333
The garage shown is a composite of more than one shape. Which of these would be a correct way to find its volume?  <br /><br /> A. add the volume of a rectangular prism to the volume of a triangular prism.<br /> B. add the volumes of a rectangular prism and a pyramid <br /> C. find the volume of a pyramid<br /> D. find the volume of a rectangular prism,69,283,5,0,0,0,0,8.625,8,0,0.698586957,17,0,0,-3.990856767,0.171315376,0.5,0.5
"what is the greatest common factor of 27,36,72",10,39,0,1,0,1,1,10,1,0,0.997,2,0,0,-4.683131727,0.013630123,0.35,0.75
Rachel's cell phone company charges $0.10 per minute. She used 350 minutes last month and paid $84. Write and solve a linear equation to find what her bill<br /> will be id she uses 300 minutes next month?,39,168,1,0,1,1,0,9.75,4,0,2.647307692,6,0,0,-3.719338662,0.225931154,0,0.033333333
Please find the volume of the object shown. Use 3.14 as pi.  Round your answer to the nearest hundredth. ,20,85,0,0,0,0,0,4,5,0,-0.3545,4,0,1,-4.216512196,0.060589017,-0.2,0.4
Moving 4.0 coulombs of charge through a circuit<br /> requires 48 joules of electric energy. What is the<br /> potential difference across this circuit?<br /> (1) 190 V (3) 12 V<br /> (2) 48 V (4) 4.0 V,40,165,4,0,0,1,0,8,5,0,-0.82725,20,0,0,-2.298768855,0.734798189,0,1
A 750-newton person stands in an elevator that is<br /> accelerating downward. The upward force of the<br /> elevator floor on the person must be<br /> (1) equal to 0 N (3) equal to 750 N<br /> (2) less than 750 N (4) greater than 750 N,48,190,4,0,0,0,0,24,2,0,7.055,18,0,0,-2.345724586,0.747453023,0.083333333,0.266666667
"A student constructed a series circuit consisting of a 12.0-volt battery, a 10.0-ohm lamp, and a<br /> resistor. The circuit does not contain a voltmeter or an ammeter. When the circuit is operating, the<br /> total current through the circuit is 0.50 ampere.<br /> Calculate the power consumed by the lamp. [Show all work, including the equation and substitution<br /> with the units.]",68,324,4,0,0,1,0,7.555555556,9,0,2.850130719,24,0,0,-4.979312823,0.085236271,0,0.575
"At a certain location, a gravitational force with<br /> a magnitude of 350 newtons acts on a 70.-kilogram<br /> astronaut. What is the magnitude of the gravitational<br /> field strength at this location?<br /> (1) 0.20 kg/N (3) 9.8 m/s2<br /> (2) 5.0 N/kg (4) 25 000 Ní¢ä‰åŒ¢kg",56,231,6,0,0,1,0,8,7,0,-1.449642857,26,0,0,-2.376351243,0.711808916,0.214285714,0.571428571
Earthí¢ä‰åä‹¢s tides are determined by the mooní¢ä‰åä‹¢s ________________ pull.<br /> a. rotational<br /> c. gravitational<br /> b. radial<br /> d. ecliptic,22,136,4,0,0,0,0,3.666666667,6,0,-0.970757576,13,0,0,-3.665814181,0.078179843,0,0
